visitor_id,nb_sessions,avg_days_between_sessions,nb_unique_documents,engagement_score,return_rate,visitor_type,browser_clean,os_clean,source_clean,medium_clean,avg_time_on_content,nb_unique_documents_viewed,device_type,is_disengaged
"1,69652E+18",30,0.6181818181818182,22,0.544,0.6179775280898876,R̩current,Firefox,macOS,Referral,Direct,150,22,ordinateur,0
"1,69738E+18",1,0.0,1,0.333,1.0,Nouveau,Safari,macOS,Referral,Direct,5,1,ordinateur,1
"1,69739E+18",7,1.3928571428571428,10,0.395,0.417910447761194,Mixte,Chrome,macOS,Referral,Direct,35,10,ordinateur,1
"1,69741E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,69743E+18",1,0.0,1,0.333,1.0,Nouveau,Safari,macOS,Referral,Direct,5,1,ordinateur,1
"1,69744E+18",3,0.0,5,0.365,1.0,Mixte,Chrome,Windows,Social,Referral,15,5,ordinateur,1
"1,69744E+18",3,0.0,5,0.365,1.0,Mixte,Chrome,Windows,Social,Referral,15,5,ordinateur,1
"1,69744E+18",3,0.0,5,0.365,1.0,Mixte,Chrome,Windows,Referral,Direct,15,5,ordinateur,1
"1,69744E+18",3,0.0,5,0.365,1.0,Mixte,Chrome,Windows,Referral,Direct,15,5,ordinateur,1
"1,69745E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69746E+18",20,2.886363636363636,8,0.401,0.2573099415204679,Mixte,Chrome,Android,Referral,Direct,100,8,mobile,0
"1,69746E+18",20,2.886363636363636,8,0.401,0.2573099415204679,Mixte,Chrome,Android,Referral,Direct,100,8,mobile,0
"1,69746E+18",20,2.886363636363636,8,0.401,0.2573099415204679,Mixte,Chrome,Android,Referral,Direct,100,8,mobile,0
"1,69746E+18",20,2.886363636363636,8,0.401,0.2573099415204679,Mixte,Chrome,Android,Social,Referral,100,8,mobile,0
"1,69746E+18",20,2.886363636363636,8,0.401,0.2573099415204679,Mixte,Chrome,Android,Social,Referral,100,8,mobile,0
"1,69746E+18",20,2.886363636363636,8,0.401,0.2573099415204679,Mixte,Chrome,Android,Social,Referral,100,8,mobile,0
"1,69746E+18",20,2.886363636363636,8,0.401,0.2573099415204679,Mixte,Chrome,Android,Search,Referral,100,8,mobile,0
"1,69746E+18",20,2.886363636363636,8,0.401,0.2573099415204679,Mixte,Chrome,Android,Search,Referral,100,8,mobile,0
"1,69746E+18",20,2.886363636363636,8,0.401,0.2573099415204679,Mixte,Chrome,Android,Search,Referral,100,8,mobile,0
"1,69747E+18",1,0.0,1,0.333,1.0,Nouveau,Safari,macOS,Referral,Direct,5,1,ordinateur,1
"1,69748E+18",121,1.4694656488549618,24,0.792,0.4049459041731066,Mixte,Chrome,Windows,Referral,Direct,605,24,ordinateur,0
"1,69748E+18",121,1.4694656488549618,24,0.792,0.4049459041731066,Mixte,Chrome,Windows,Referral,Direct,605,24,ordinateur,0
"1,69748E+18",121,1.4694656488549618,24,0.792,0.4049459041731066,Mixte,Chrome,Windows,Referral,Direct,605,24,ordinateur,0
"1,69748E+18",121,1.4694656488549618,24,0.792,0.4049459041731066,Mixte,Chrome,Windows,Social,Referral,605,24,ordinateur,0
"1,69748E+18",121,1.4694656488549618,24,0.792,0.4049459041731066,Mixte,Chrome,Windows,Social,Referral,605,24,ordinateur,0
"1,69748E+18",121,1.4694656488549618,24,0.792,0.4049459041731066,Mixte,Chrome,Windows,Social,Referral,605,24,ordinateur,0
"1,69748E+18",121,1.4694656488549618,24,0.792,0.4049459041731066,Mixte,Chrome,Windows,Search,Referral,605,24,ordinateur,0
"1,69748E+18",121,1.4694656488549618,24,0.792,0.4049459041731066,Mixte,Chrome,Windows,Search,Referral,605,24,ordinateur,0
"1,69748E+18",121,1.4694656488549618,24,0.792,0.4049459041731066,Mixte,Chrome,Windows,Search,Referral,605,24,ordinateur,0
"1,6974E+18",26,4.638888888888889,8,0.399,0.1773399014778325,Mixte,Firefox,Windows,Referral,Direct,130,8,ordinateur,1
"1,6974E+18",26,4.638888888888889,8,0.399,0.1773399014778325,Mixte,Firefox,Windows,Referral,Direct,130,8,ordinateur,1
"1,6974E+18",26,4.638888888888889,8,0.399,0.1773399014778325,Mixte,Firefox,Windows,Referral,Referral,130,8,ordinateur,1
"1,6974E+18",26,4.638888888888889,8,0.399,0.1773399014778325,Mixte,Firefox,Windows,Referral,Referral,130,8,ordinateur,1
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Direct,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Direct,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Direct,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Direct,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Direct,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Direct,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Search,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Search,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Search,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Search,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Search,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Search,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Social,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Social,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Social,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Social,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Social,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Social,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69752E+18",126,0.6386138613861386,51,0.993,0.6102719033232628,Mixte,Chrome,Windows,Referral,Referral,630,51,ordinateur,0
"1,69753E+18",18,15.782608695652174,5,0.243,0.0595854922279792,Mixte,Chrome,Windows,Referral,Direct,90,5,ordinateur,1
"1,69754E+18",19,4.727272727272728,5,0.36,0.1746031746031745,Mixte,Edge,Windows,Referral,Direct,95,5,ordinateur,1
"1,69755E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,6975E+18",1,0.0,1,0.333,1.0,Nouveau,Edge,Windows,Referral,Direct,5,1,ordinateur,1
"1,69762E+18",1,0.0,1,0.333,1.0,Nouveau,Firefox,Windows,Referral,Direct,5,1,ordinateur,1
"1,69763E+18",1,0.0,2,0.34,1.0,Nouveau,Edge,Windows,Referral,Direct,5,2,ordinateur,1
"1,69765E+18",1,0.0,1,0.333,1.0,Nouveau,Safari,macOS,Referral,Direct,5,1,ordinateur,1
"1,69767E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Android,Referral,Direct,5,1,mobile,1
"1,6976E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69771E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69772E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69773E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69775E+18",11,5.95,12,0.372,0.1438848920863309,Mixte,Chrome,macOS,Referral,Direct,55,12,ordinateur,1
"1,69776E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Android,Referral,Direct,5,1,mobile,1
"1,69778E+18",1,0.0,4,0.353,1.0,Nouveau,Firefox,macOS,Referral,Direct,5,4,ordinateur,1
"1,69779E+18",3,11.363636363636363,8,0.269,0.0808823529411764,Mixte,Safari,macOS,Referral,Direct,15,8,ordinateur,1
"1,6977E+18",2,17.0,1,0.162,0.0555555555555555,Mixte,Edge,Windows,Referral,Direct,10,1,ordinateur,1
"1,69782E+18",12,0.875,4,0.374,0.5333333333333333,Mixte,Chrome,Windows,Referral,Direct,60,4,ordinateur,1
"1,69787E+18",1,0.0,3,0.347,1.0,Nouveau,Chrome,Android,Referral,Direct,5,3,mobile,1
"1,69788E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69789E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,6978E+18",1,0.0,1,0.333,1.0,Nouveau,Firefox,Autre,Referral,Direct,5,1,ordinateur,1
"1,69791E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,69798E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69802E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69803E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69807E+18",2,0.25,1,0.333,0.8,Mixte,Edge,Windows,Referral,Direct,10,1,ordinateur,1
"1,69809E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69811E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69813E+18",1,0.0,2,0.34,1.0,Nouveau,Firefox,Windows,Referral,Direct,5,2,ordinateur,1
"1,69814E+18",2,1.0,1,0.326,0.5,Mixte,Firefox,Windows,Referral,Direct,10,1,ordinateur,1
"1,69815E+18",4,6.333333333333333,4,0.296,0.1363636363636363,Mixte,Edge,Windows,Referral,Direct,20,4,ordinateur,1
"1,69816E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,6981E+18",14,4.166666666666667,7,0.365,0.1935483870967742,Mixte,Chrome,Windows,Referral,Direct,70,7,ordinateur,1
"1,69822E+18",2,6.25,3,0.285,0.1379310344827586,Mixte,Opera,Windows,Referral,Direct,10,3,ordinateur,1
"1,69823E+18",1,0.0,2,0.34,1.0,Nouveau,Safari,Windows,Referral,Direct,5,2,ordinateur,1
"1,69824E+18",1,0.0,3,0.347,1.0,Nouveau,Edge,Windows,Referral,Direct,5,3,ordinateur,1
"1,69825E+18",1,0.0,1,0.333,1.0,Nouveau,Firefox,Windows,Referral,Direct,5,1,ordinateur,1
"1,69826E+18",1,0.0,1,0.333,1.0,Nouveau,Firefox,Windows,Referral,Direct,5,1,ordinateur,1
"1,69828E+18",1,0.0,1,0.333,1.0,Nouveau,Autre,Android,Referral,Direct,5,1,mobile,1
"1,69829E+18",1,0.0,1,0.333,1.0,Nouveau,Safari,iOS,Referral,Direct,5,1,mobile,1
"1,69831E+18",1,0.0,1,0.333,1.0,Nouveau,Firefox,Windows,Referral,Direct,5,1,ordinateur,1
"1,69832E+18",3,6.0,2,0.284,0.1428571428571428,Mixte,Edge,Windows,Referral,Direct,15,2,ordinateur,1
"1,69833E+18",1,0.0,3,0.347,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,3,ordinateur,1
"1,69835E+18",2,0.0,3,0.349,1.0,Mixte,Edge,Windows,Referral,Direct,10,3,ordinateur,1
"1,69836E+18",1,0.0,2,0.34,1.0,Nouveau,Edge,Windows,Referral,Direct,5,2,ordinateur,1
"1,69839E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69841E+18",2,31.33333333333333,1,0.015,0.0309278350515463,Mixte,Chrome,Linux,Referral,Direct,10,1,ordinateur,1
"1,69844E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69845E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Android,Referral,Direct,5,1,mobile,1
"1,69848E+18",14,2.25,9,0.398,0.3076923076923077,Mixte,Chrome,Windows,Referral,Direct,70,9,ordinateur,1
"1,69849E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Android,Referral,Direct,5,1,mobile,1
"1,6984E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69853E+18",2,0.2222222222222222,1,0.334,0.8181818181818181,Mixte,Firefox,macOS,Referral,Direct,10,1,ordinateur,1
"1,69854E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69856E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,69858E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,69859E+18",2,12.666666666666666,1,0.206,0.073170731707317,Mixte,Firefox,Windows,Referral,Direct,10,1,ordinateur,1
"1,69862E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69866E+18",1,0.0,2,0.34,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,2,ordinateur,1
"1,69867E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,69868E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,6986E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69871E+18",3,10.333333333333334,1,0.233,0.088235294117647,Mixte,Chrome,Windows,Referral,Direct,15,1,ordinateur,1
"1,69874E+18",1,0.0,1,0.333,1.0,Nouveau,Firefox,Windows,Referral,Direct,5,1,ordinateur,1
"1,69877E+18",5,14.5,5,0.222,0.064516129032258,Mixte,Firefox,Windows,Referral,Direct,25,5,ordinateur,1
"1,69877E+18",5,14.5,5,0.222,0.064516129032258,Mixte,Firefox,Windows,Referral,Direct,25,5,ordinateur,1
"1,69877E+18",5,14.5,5,0.222,0.064516129032258,Mixte,Firefox,Windows,Referral,Referral,25,5,ordinateur,1
"1,69877E+18",5,14.5,5,0.222,0.064516129032258,Mixte,Firefox,Windows,Referral,Referral,25,5,ordinateur,1
"1,69878E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,6987E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69883E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69884E+18",3,3.5,3,0.316,0.2222222222222222,Mixte,Chrome,Windows,Referral,Direct,15,3,ordinateur,1
"1,69885E+18",3,1.0,2,0.335,0.5,Mixte,Firefox,Windows,Referral,Direct,15,2,ordinateur,1
"1,69886E+18",2,0.0,4,0.356,1.0,Mixte,Chrome,Windows,Referral,Direct,10,4,ordinateur,1
"1,69888E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Android,Referral,Direct,5,1,mobile,1
"1,69891E+18",1,0.0,2,0.34,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,2,ordinateur,1
"1,69892E+18",1,0.0,2,0.34,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,2,ordinateur,1
"1,69893E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69894E+18",1,0.0,1,0.333,1.0,Nouveau,Edge,Windows,Referral,Direct,5,1,ordinateur,1
"1,69895E+18",1,0.0,1,0.333,1.0,Nouveau,Opera,Windows,Referral,Direct,5,1,ordinateur,1
"1,698E+18",2,1.0,1,0.326,0.5,Mixte,Chrome,Windows,Referral,Direct,10,1,ordinateur,1
"1,69901E+18",1,0.0,1,0.333,1.0,Nouveau,Opera,Windows,Referral,Direct,5,1,ordinateur,1
"1,69902E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69903E+18",2,32.5,1,0.003,0.0298507462686567,Mixte,Chrome,macOS,Referral,Direct,10,1,ordinateur,1
"1,69905E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69909E+18",2,1.6666666666666667,1,0.319,0.3749999999999999,Mixte,Chrome,Windows,Referral,Direct,10,1,ordinateur,1
"1,69913E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Android,Referral,Direct,5,1,mobile,1
"1,69914E+18",1,0.0,1,0.333,1.0,Nouveau,Edge,Windows,Referral,Direct,5,1,ordinateur,1
"1,69919E+18",1,0.0,1,0.333,1.0,Nouveau,Edge,Windows,Referral,Direct,5,1,ordinateur,1
"1,6991E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69921E+18",1,0.0,3,0.347,1.0,Nouveau,Edge,Windows,Referral,Direct,5,3,ordinateur,1
"1,69922E+18",1,0.0,2,0.34,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,2,ordinateur,1
"1,69923E+18",7,1.6666666666666667,6,0.366,0.3749999999999999,Mixte,Chrome,Windows,Referral,Direct,35,6,ordinateur,1
"1,69926E+18",1,0.0,2,0.34,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,2,ordinateur,1
"1,69927E+18",5,6.166666666666667,3,0.294,0.1395348837209302,Mixte,Edge,Windows,Referral,Direct,25,3,ordinateur,1
"1,69928E+18",1,0.0,1,0.333,1.0,Nouveau,Firefox,Windows,Referral,Direct,5,1,ordinateur,1
"1,69929E+18",2,0.5,2,0.338,0.6666666666666666,Mixte,Chrome,Windows,Referral,Direct,10,2,ordinateur,1
"1,6992E+18",4,0.2,4,0.359,0.8333333333333334,Mixte,Chrome,Windows,Referral,Direct,20,4,ordinateur,1
"1,69931E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,69934E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,macOS,Referral,Direct,5,1,ordinateur,1
"1,69936E+18",2,8.5,1,0.249,0.1052631578947368,Mixte,Firefox,Windows,Referral,Direct,10,1,ordinateur,1
"1,69939E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,6993E+18",1,0.0,1,0.333,1.0,Nouveau,Edge,Windows,Referral,Direct,5,1,ordinateur,1
"1,69943E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Windows,Referral,Direct,5,1,ordinateur,1
"1,69945E+18",1,0.0,1,0.333,1.0,Nouveau,Chrome,Autre,Referral,Direct,5,1,ordinateur,1
"1,69952E+18",5,3.25,4,0.331,0.2352941176470588,Mixte,Firefox,Windows,Referral,Direct,25,4,ordinateur,1
"1,69953E+18",2,0.7142857142857143,3,0.342,0.5833333333333333,Mixte,Edge,Windows,Referral,Direct,10,3,ordinateur,1
"1,69954E+18",2,0.0769230769230769,6,0.369,0.9285714285714286,Mixte,Chrome,Windows,Referral,Direct,10,6,ordinateur,1
